Project ID,title,content,Influence,Social,Environment,Finance,Budget,cooldown,MG,Repr_ID,SUM,Project Ratio,for per cell max value = 100 / city total value  = 500
1,Tree Planting Event,"Organize an event, where people plant new trees and clean up garbage from their neighbourhoods",50,0,5,0,-250,45,None,0,5,30,
2,IT Company,Support a small scale IT firm specialized in algorithms that balance production and usage of electricity produced by solar panels.,50,-3,7,1,-300,30,Advertise,1,5,25,
3,Support a new app,"Support an app that offers all key information on public / shared modes of transportation in order to reduce the carbon foot print in your daily home to work commute 
",50,2,10,-5,-350,35,Area,2,7,40,
4,Energy Cooperation,Start an energy cooperation to facilitate other people who want to start their own energy projects.,75,-5,13,0,-400,45,Sort,0,8,47.5,
5,Energy Storage,Create a local energy storage system to be able to be less dependent on the grid.,75,2,15,-4,-450,45,None,1,13,92.5,
6,Car Free Streets,"Push legislation and gather supporters to promote car free streets 
",75,-5,18,2,-500,45,Area,2,15,107.5,
7,Solar Panels on Houses,Start a neighborhood initiative to collectively install solar panels on rooftops.,100,3,22,-4,-650,50,Sort,0,21,155,
8,Solar Panels in Schools,Convince the teachers and director of a school to install solar panels on the roof to cover the building’s energy needs.,100,-4,25,0,-750,50,Advertise,1,21,145,
9,Thermostats,Support a start-up company to develop a new type of thermostat that can connect to people’s smart meters and their smartphones.,150,0,30,-10,-800,60,Area,2,20,135,
10,Electric Vehicles,Propose tax reduction on electric vehicles,200,-10,35,0,-1000,60,Area,0,25,170,
11,Community Gardening,Set up a new community garden,50,5,0,0,-250,45,None,0,5,30,
12,Small Festival,Organize a small multicultural festival in the area,50,7,1,-3,-300,30,Advertise,1,5,25,
13,Bike Sharing,Support a new bike sharing innitiative.,50,10,-5,2,-350,35,Area,0,7,40,
14,Alternative Tours,"Set up alternative tours for tourists who come to see the everyday Paris
",75,13,0,-5,-400,45,Sort,0,8,47.5,
15,High-Speed Internet,Set-up a hub for a new high-speed internet connection in the region.,75,15,-4,2,-450,45,None,1,13,92.5,
16,Accessibility for Disabled Citizens,"Push legislation and gather supporters to promote better access to the metro for people with disabilities 
",75,18,2,-5,-500,45,Area,2,15,107.5,
17,Refugees Welcome,Organize a refugee support event,100,22,-4,3,-650,50,Sort,3,21,155,
18,Women's March,Organize a march in support of women's rights,100,25,0,-4,-750,50,Advertise,2,21,145,
19,Christmas Market,Approve a christmas market,150,30,-10,0,-800,60,Area,3,20,135,
20,Funfair,Organize a funfair in the area.,200,35,0,-10,-1000,60,Area,2,25,170,
21,Co-Working Spaces,"Support a new hub / co-working space for local artist 
",50,0,0,5,-250,45,None,0,5,30,
22,Local Products,"Push legislation and gather supporters to promote local products
",50,1,-3,7,-300,30,Advertise,1,5,25,
23,Collaborative Practices,"Support collaborative practices in mid-sized businesses / shops
",50,-5,2,10,-350,35,Area,2,7,40,
24,Automated Lights,Support a company to offer smart lighting solutions to allow people to control and automate lighting systems in their house through an app.,75,0,-5,13,-400,45,Sort,0,8,47.5,
25,High tech production,A new hub for high tech startups,75,-4,2,15,-450,45,None,1,13,92.5,
26,Solar Panel Factory,A new highly optimized solar panel production plant,75,2,-5,18,-500,45,Area,2,15,107.5,
27,New Recycling Plant,A new automated recycling plant,100,-4,3,22,-650,50,Sort,0,21,155,
28,Old Factory - New Purpose,Reestablishing an old factory as a new hub for startups and events,100,0,-4,25,-750,50,Advertise,1,21,145,
29,Grand Mall,Approve a new super modern office building and mall,150,-10,0,30,-800,60,Area,2,20,135,
30,Financial District,Approve the construction of a super modern financial district,200,0,-10,35,-1000,60,Area,0,25,170,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,2775,140,140,140,-16350,1395,,,420,2842.5,